pct_of_hours,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
0.0,121.46,200.04,620.0,871.0,524.27,936.28,583.4,665.82,,,,,,,,,,74.74,68.9,409.0,700.0,220.0,193.0,240.0,247.15,,,,,,,,,,74.74,68.9,409.0,651.0,220.0,193.0,240.0,205.42,,,,,,,,,,121.46,200.04,620.0,2987.78,276.12,284.21,473.28,313.36,,,,,,,,,,108.49,162.6,533.19,870.0,295.0,275.08,289.0,284.51,,,,,,,,,
1.0,72.52,74.84,366.82,664.94,207.98,224.86,242.84,241.44,,,,,,,,,,69.74,57.17,334.55,397.47,165.74,158.27,169.56,165.56,,,,,,,,,,69.81,56.62,334.55,395.65,165.22,158.47,169.22,163.79,,,,,,,,,,75.91,75.38,399.28,703.63,209.5,152.0,175.82,174.39,,,,,,,,,,82.92,77.94,381.17,702.94,225.35,192.46,185.84,195.75,,,,,,,,,
2.0,66.75,64.21,322.2,590.7,190.0,181.39,197.14,203.08,,,,,,,,,,68.38,54.89,307.92,330.07,160.0,150.0,158.37,154.74,,,,,,,,,,68.4,54.56,307.92,330.07,159.37,150.0,157.84,153.55,,,,,,,,,,70.86,65.78,351.57,650.0,193.02,137.82,160.16,163.28,,,,,,,,,,79.89,72.34,339.58,650.0,213.43,178.88,175.68,186.84,,,,,,,,,
3.0,62.45,59.67,291.81,559.89,179.97,160.95,179.92,186.41,,,,,,,,,,67.21,53.54,285.23,291.01,154.07,144.36,151.25,149.57,,,,,,,,,,67.66,53.28,285.23,291.01,153.93,144.38,150.99,148.24,,,,,,,,,,68.51,61.89,326.92,610.13,182.24,131.0,150.96,153.81,,,,,,,,,,77.34,69.12,319.27,619.35,204.02,171.18,170.0,180.12,,,,,,,,,
4.0,60.0,56.96,269.02,530.0,171.63,151.06,170.0,177.98,,,,,,,,,,66.03,52.85,265.35,278.33,150.45,140.09,145.02,142.26,,,,,,,,,,66.5,52.53,265.35,278.0,150.0,140.09,145.0,140.61,,,,,,,,,,66.68,59.17,305.81,577.37,175.66,126.43,143.63,147.84,,,,,,,,,,75.42,66.22,304.34,592.9,198.22,166.51,165.06,177.0,,,,,,,,,
5.0,58.29,55.16,248.85,509.98,166.25,143.25,162.35,171.29,,,,,,,,,,64.21,51.89,254.46,268.18,146.96,136.59,139.01,136.28,,,,,,,,,,65.0,51.73,254.76,268.04,146.73,136.59,138.86,135.34,,,,,,,,,,64.63,56.9,287.75,553.3,170.07,122.83,138.02,142.38,,,,,,,,,,74.28,64.44,290.51,571.36,193.67,162.08,161.32,174.35,,,,,,,,,
6.0,56.82,53.89,233.68,493.9,161.79,137.84,155.78,166.04,,,,,,,,,,63.06,51.02,248.02,261.39,144.22,133.06,134.76,132.6,,,,,,,,,,63.64,50.92,248.02,260.79,143.9,133.02,134.42,131.49,,,,,,,,,,62.63,55.22,272.26,534.02,165.38,119.55,133.7,138.5,,,,,,,,,,73.41,62.68,277.88,551.8,189.98,158.42,158.8,172.62,,,,,,,,,
7.0,55.59,52.53,221.06,478.13,157.07,134.4,151.0,161.91,,,,,,,,,,61.57,50.5,240.52,255.0,141.54,130.0,131.11,128.65,,,,,,,,,,62.01,50.27,240.45,255.0,141.39,130.0,130.86,127.78,,,,,,,,,,60.49,54.0,258.45,516.44,161.21,116.74,129.78,135.11,,,,,,,,,,72.49,61.14,267.21,534.98,186.21,154.7,155.85,170.39,,,,,,,,,
8.0,54.81,51.39,212.26,461.78,153.52,130.81,147.58,158.71,,,,,,,,,,60.49,50.0,234.05,250.0,139.53,127.39,128.07,125.92,,,,,,,,,,60.8,49.87,234.04,250.0,139.48,127.32,127.94,125.42,,,,,,,,,,59.01,53.0,248.95,501.79,158.43,114.22,125.96,132.61,,,,,,,,,,71.56,59.58,256.28,518.48,182.1,151.66,153.68,168.77,,,,,,,,,
9.0,54.0,50.18,203.09,450.66,150.68,128.14,143.5,154.87,,,,,,,,,,59.83,49.26,228.86,247.45,137.74,125.0,125.22,123.82,,,,,,,,,,59.97,49.16,228.86,247.37,137.67,124.98,125.21,122.95,,,,,,,,,,57.61,52.03,240.0,485.0,154.66,111.8,123.82,129.42,,,,,,,,,,70.69,58.35,250.01,502.69,179.66,148.97,151.78,166.75,,,,,,,,,
10.0,53.2,49.2,197.53,439.44,147.16,125.25,140.93,152.39,,,,,,,,,,59.21,48.61,223.0,243.47,135.86,122.75,123.52,121.79,,,,,,,,,,59.38,48.42,223.0,243.47,135.72,122.58,123.49,120.81,,,,,,,,,,56.42,50.9,230.25,472.39,151.97,109.88,121.32,127.4,,,,,,,,,,69.73,57.26,243.02,493.05,175.46,145.72,150.05,165.15,,,,,,,,,
11.0,52.74,48.27,190.0,428.82,144.8,123.01,137.73,150.29,,,,,,,,,,58.8,48.0,218.3,240.0,134.1,120.75,121.29,119.55,,,,,,,,,,58.9,47.86,218.3,240.0,134.0,120.72,121.16,119.04,,,,,,,,,,55.39,50.0,223.24,461.16,149.68,108.05,119.39,125.78,,,,,,,,,,68.65,56.05,236.88,480.21,172.81,143.4,148.95,163.28,,,,,,,,,
12.0,52.01,47.63,182.56,418.38,142.26,120.96,134.99,147.96,,,,,,,,,,58.47,47.21,214.48,237.28,132.35,119.23,119.58,117.99,,,,,,,,,,58.58,47.08,214.48,237.2,132.24,119.0,119.39,116.75,,,,,,,,,,54.62,49.12,216.71,450.94,146.75,106.2,117.0,123.92,,,,,,,,,,67.86,55.16,231.24,470.31,170.0,141.05,147.32,161.92,,,,,,,,,
13.0,51.47,46.8,176.55,407.45,140.09,118.93,132.72,145.63,,,,,,,,,,58.0,46.75,207.76,234.0,130.64,117.14,117.64,115.58,,,,,,,,,,58.09,46.53,207.76,233.96,130.44,117.11,117.56,115.03,,,,,,,,,,53.94,48.34,209.8,441.98,144.72,104.51,114.64,122.19,,,,,,,,,,66.97,54.43,226.7,462.3,167.66,139.25,145.69,160.43,,,,,,,,,
14.0,51.0,46.06,169.4,399.72,138.51,116.86,130.12,144.19,,,,,,,,,,57.66,46.23,202.0,230.02,129.82,115.88,115.98,113.96,,,,,,,,,,57.75,46.07,202.0,230.04,129.74,115.74,115.86,113.03,,,,,,,,,,52.96,47.67,203.65,433.28,142.78,102.67,112.36,120.83,,,,,,,,,,66.26,53.54,221.99,454.51,165.0,136.83,144.24,159.37,,,,,,,,,
15.0,50.5,45.47,162.88,390.0,136.61,115.09,128.69,142.56,,,,,,,,,,57.2,45.82,198.41,227.98,128.54,114.34,114.78,111.53,,,,,,,,,,57.32,45.56,198.41,227.98,128.36,114.3,114.72,111.03,,,,,,,,,,52.3,46.99,198.0,425.06,140.48,100.91,110.19,119.2,,,,,,,,,,65.43,52.86,217.86,450.0,162.96,135.05,143.0,158.05,,,,,,,,,
16.0,50.02,44.97,157.11,379.9,134.98,113.48,126.91,140.69,,,,,,,,,,56.89,45.18,194.06,225.0,127.02,112.85,113.64,109.12,,,,,,,,,,56.94,45.07,194.06,225.01,126.96,112.83,113.55,108.52,,,,,,,,,,51.79,46.21,192.12,415.61,138.73,99.74,108.1,117.99,,,,,,,,,,64.9,52.13,213.1,443.6,160.89,133.76,141.59,156.91,,,,,,,,,
17.0,49.71,44.52,151.2,371.92,133.05,111.72,125.09,139.11,,,,,,,,,,56.51,44.94,190.8,222.78,125.86,111.39,112.3,107.34,,,,,,,,,,56.56,44.86,190.83,222.78,125.64,111.36,112.2,106.81,,,,,,,,,,51.13,45.69,186.0,408.9,136.58,98.09,105.87,116.26,,,,,,,,,,64.23,51.47,208.5,435.7,159.31,131.7,140.29,155.52,,,,,,,,,
18.0,49.1,43.88,145.0,362.7,131.78,110.14,123.57,138.01,,,,,,,,,,56.16,44.52,187.4,220.25,124.79,110.0,111.0,104.93,,,,,,,,,,56.26,44.45,187.82,220.26,124.59,110.0,110.94,104.71,,,,,,,,,,50.62,45.1,181.28,400.07,135.0,95.97,104.18,114.84,,,,,,,,,,63.55,50.92,203.87,429.68,157.23,130.23,139.52,154.53,,,,,,,,,
19.0,48.73,43.25,139.39,353.0,130.02,109.01,122.15,136.98,,,,,,,,,,56.0,44.09,184.21,218.47,123.2,108.83,109.91,103.39,,,,,,,,,,56.02,44.01,184.58,218.5,123.0,108.78,109.85,103.18,,,,,,,,,,50.1,44.71,176.52,393.4,133.1,94.5,102.52,113.66,,,,,,,,,,62.95,50.27,198.9,423.08,155.0,129.26,138.09,153.62,,,,,,,,,
20.0,48.16,42.83,133.79,346.15,129.14,107.64,120.71,135.85,,,,,,,,,,55.62,43.76,180.3,216.01,121.99,107.27,108.69,102.07,,,,,,,,,,55.78,43.66,180.3,216.01,121.88,107.2,108.61,101.69,,,,,,,,,,49.71,44.18,170.66,385.28,131.8,92.97,100.69,112.34,,,,,,,,,,62.39,49.95,193.84,416.78,153.49,127.56,136.76,152.81,,,,,,,,,
21.0,47.9,42.15,128.51,338.0,127.74,106.4,119.73,134.81,,,,,,,,,,55.44,43.33,177.0,214.9,120.76,105.7,107.5,100.47,,,,,,,,,,55.51,43.21,177.0,214.9,120.58,105.63,107.32,100.17,,,,,,,,,,49.2,43.71,164.88,378.04,130.03,91.55,99.4,111.04,,,,,,,,,,61.92,49.33,189.04,410.39,151.56,125.97,135.71,151.88,,,,,,,,,
22.0,47.47,41.69,123.55,332.04,126.22,105.14,118.26,133.59,,,,,,,,,,55.13,43.0,173.89,212.6,120.0,104.58,106.54,98.87,,,,,,,,,,55.26,42.93,173.89,212.6,119.96,104.44,106.43,98.72,,,,,,,,,,48.83,43.13,159.99,371.13,129.11,90.12,98.0,109.73,,,,,,,,,,61.36,48.8,184.7,403.7,150.07,125.0,135.0,151.16,,,,,,,,,
23.0,46.99,41.2,119.2,324.85,124.95,103.63,116.6,131.91,,,,,,,,,,55.0,42.67,168.84,210.24,118.87,103.0,105.46,97.71,,,,,,,,,,55.04,42.61,168.84,210.25,118.76,102.98,105.42,97.39,,,,,,,,,,48.25,42.64,152.6,363.56,127.58,88.99,96.3,108.29,,,,,,,,,,60.92,48.36,180.28,396.41,149.49,123.91,134.13,150.32,,,,,,,,,
24.0,46.69,40.8,115.49,317.11,123.63,102.45,115.24,130.9,,,,,,,,,,54.82,42.31,162.82,208.97,117.72,101.78,104.79,96.05,,,,,,,,,,54.94,42.22,162.82,208.97,117.62,101.72,104.72,95.65,,,,,,,,,,47.89,42.11,146.04,355.43,125.87,87.95,94.9,107.11,,,,,,,,,,60.57,47.91,177.58,388.16,148.0,123.06,133.19,149.75,,,,,,,,,
25.0,46.27,40.25,112.03,310.08,122.12,101.34,114.14,129.85,,,,,,,,,,54.52,42.0,157.5,206.4,116.21,100.48,104.01,94.66,,,,,,,,,,54.66,41.94,157.7,206.4,116.08,100.28,103.87,94.4,,,,,,,,,,47.43,41.74,140.55,350.0,124.34,86.54,93.2,105.52,,,,,,,,,,60.13,47.38,173.59,380.53,146.55,122.04,132.31,148.99,,,,,,,,,
26.0,45.93,39.93,109.87,304.05,120.7,100.09,112.79,128.77,,,,,,,,,,54.3,41.69,152.45,204.85,115.2,99.79,102.93,93.67,,,,,,,,,,54.47,41.63,152.54,204.86,115.09,99.64,102.68,93.4,,,,,,,,,,46.99,41.33,134.93,344.64,122.79,85.27,91.85,104.2,,,,,,,,,,59.8,46.95,168.69,374.65,145.11,121.04,131.57,148.06,,,,,,,,,
27.0,45.51,39.4,107.18,299.31,119.6,99.44,111.72,127.57,,,,,,,,,,54.01,41.4,147.35,202.6,114.28,98.7,101.58,92.16,,,,,,,,,,54.1,41.36,147.35,202.6,114.21,98.6,101.45,91.68,,,,,,,,,,46.59,40.9,129.42,336.53,121.31,84.18,90.46,102.96,,,,,,,,,,59.37,46.49,163.5,369.0,143.83,120.1,130.65,147.41,,,,,,,,,
28.0,45.06,38.95,105.02,294.45,118.36,98.28,110.5,126.72,,,,,,,,,,53.7,41.07,141.22,200.48,113.27,97.14,100.46,90.32,,,,,,,,,,53.96,41.06,141.42,200.49,113.21,96.9,100.39,89.68,,,,,,,,,,46.1,40.45,122.86,330.5,120.0,82.94,89.43,101.61,,,,,,,,,,59.0,46.03,158.49,361.9,142.37,119.86,130.0,146.44,,,,,,,,,
29.0,44.84,38.41,103.09,288.64,117.3,97.04,109.61,125.81,,,,,,,,,,53.49,40.75,137.49,199.8,112.19,95.5,99.82,88.83,,,,,,,,,,53.6,40.7,137.78,199.84,112.16,95.41,99.62,88.22,,,,,,,,,,45.8,40.04,117.01,324.56,118.85,81.51,88.22,100.43,,,,,,,,,,58.64,45.7,152.73,356.16,141.3,119.06,129.3,145.76,,,,,,,,,
30.0,44.4,38.04,100.82,282.41,116.09,96.02,108.85,125.05,,,,,,,,,,53.1,40.39,131.85,197.64,111.0,94.37,98.35,86.98,,,,,,,,,,53.29,40.37,132.5,197.65,111.0,94.2,98.21,86.69,,,,,,,,,,45.35,39.82,112.1,318.45,117.53,80.38,87.03,99.06,,,,,,,,,,58.28,45.29,146.26,350.0,140.22,118.18,128.5,145.1,,,,,,,,,
31.0,44.03,37.75,99.43,277.12,115.01,94.99,107.98,123.88,,,,,,,,,,52.99,40.1,126.13,195.97,110.01,92.5,97.0,85.33,,,,,,,,,,53.03,40.1,127.38,195.98,110.01,92.28,96.84,84.99,,,,,,,,,,45.02,39.38,108.77,312.28,116.0,79.16,85.89,98.05,,,,,,,,,,57.85,44.95,141.43,344.39,139.54,117.54,127.6,144.62,,,,,,,,,
32.0,43.85,37.24,97.61,272.47,114.0,93.88,107.09,122.73,,,,,,,,,,52.66,40.0,122.05,194.56,109.42,90.8,95.4,83.6,,,,,,,,,,52.84,40.0,122.81,194.6,109.48,90.57,95.15,83.31,,,,,,,,,,44.69,39.01,105.61,307.59,114.94,77.94,84.99,96.84,,,,,,,,,,57.52,44.55,137.19,337.0,138.28,116.89,126.78,143.62,,,,,,,,,
33.0,43.4,36.94,95.96,267.86,112.77,92.74,106.18,121.6,,,,,,,,,,52.39,39.8,119.9,192.2,108.19,89.86,94.06,81.89,,,,,,,,,,52.54,39.79,119.97,192.42,108.26,89.73,93.94,81.81,,,,,,,,,,44.26,38.69,102.82,301.7,113.71,76.64,83.79,95.32,,,,,,,,,,57.08,44.16,132.06,330.96,137.1,116.12,125.95,143.0,,,,,,,,,
34.0,43.0,36.59,94.9,263.54,111.3,91.77,105.22,120.64,,,,,,,,,,52.1,39.54,116.3,190.15,107.0,88.0,92.69,80.69,,,,,,,,,,52.27,39.53,116.73,190.2,107.0,87.99,92.38,80.61,,,,,,,,,,43.99,38.26,100.15,298.29,112.49,75.57,82.45,94.15,,,,,,,,,,56.77,43.86,127.9,326.22,135.8,115.43,125.15,142.35,,,,,,,,,
35.0,42.7,36.15,93.26,259.2,110.17,90.94,104.21,119.58,,,,,,,,,,51.94,39.19,112.98,189.0,105.8,86.22,91.04,78.93,,,,,,,,,,52.0,39.19,113.05,189.0,105.83,86.11,90.79,78.82,,,,,,,,,,43.64,37.97,98.68,294.41,111.03,74.45,81.1,93.0,,,,,,,,,,56.42,43.46,124.4,320.04,135.0,115.0,124.9,141.76,,,,,,,,,
36.0,42.31,35.87,91.68,254.91,109.41,90.02,103.2,118.62,,,,,,,,,,51.69,38.99,110.0,186.31,105.0,85.0,89.8,77.38,,,,,,,,,,51.8,38.99,110.0,186.43,105.0,85.0,89.59,77.5,,,,,,,,,,43.25,37.6,96.51,289.0,110.06,73.14,80.02,91.51,,,,,,,,,,56.1,43.13,121.08,314.69,133.94,114.35,124.04,141.06,,,,,,,,,
37.0,41.95,35.35,90.01,250.0,108.26,89.26,102.36,117.65,,,,,,,,,,51.49,38.61,107.45,184.84,104.0,83.98,88.31,75.9,,,,,,,,,,51.59,38.61,107.49,184.94,104.0,83.82,88.09,76.08,,,,,,,,,,42.9,37.12,95.0,284.76,109.2,72.01,78.95,90.27,,,,,,,,,,55.8,42.81,119.24,309.78,133.01,113.68,123.17,140.42,,,,,,,,,
38.0,41.58,35.03,88.66,245.86,107.35,88.44,101.54,116.46,,,,,,,,,,51.24,38.3,105.02,182.4,103.07,82.45,86.61,74.15,,,,,,,,,,51.38,38.3,105.12,182.49,103.09,82.29,86.08,74.36,,,,,,,,,,42.49,36.85,93.28,279.88,107.93,71.08,77.71,89.09,,,,,,,,,,55.5,42.46,117.09,304.74,132.04,112.91,122.34,140.0,,,,,,,,,
39.0,41.17,34.76,87.13,241.53,106.27,87.73,100.71,115.64,,,,,,,,,,51.05,38.05,103.5,180.18,102.0,81.29,85.0,72.06,,,,,,,,,,51.19,38.05,103.55,180.18,102.0,81.17,85.0,72.15,,,,,,,,,,42.08,36.44,91.74,275.45,106.78,70.08,76.19,87.5,,,,,,,,,,55.15,42.14,115.0,300.0,131.14,112.0,121.53,139.56,,,,,,,,,
40.0,40.91,34.4,85.92,238.11,105.4,86.9,100.0,114.81,,,,,,,,,,50.95,37.81,101.36,179.76,100.97,80.0,83.52,69.56,,,,,,,,,,51.0,37.82,101.47,179.9,101.0,79.96,83.34,69.43,,,,,,,,,,41.7,36.07,90.03,271.93,105.64,69.33,74.95,86.24,,,,,,,,,,54.84,41.83,112.83,297.13,130.18,111.27,120.83,139.07,,,,,,,,,
41.0,40.58,34.06,84.81,233.56,104.71,86.12,99.12,113.9,,,,,,,,,,50.69,37.54,100.0,177.89,100.0,78.25,82.27,66.7,,,,,,,,,,50.87,37.55,100.03,178.04,100.0,78.05,82.03,66.44,,,,,,,,,,41.3,35.74,88.82,268.59,104.88,68.22,73.5,84.86,,,,,,,,,,54.49,41.44,110.91,293.2,129.7,110.71,120.09,138.38,,,,,,,,,
42.0,40.19,33.76,83.61,229.98,103.76,85.3,98.45,113.09,,,,,,,,,,50.5,37.2,99.05,176.0,99.64,76.41,80.4,64.81,,,,,,,,,,50.55,37.21,99.19,176.07,99.7,76.15,80.4,64.56,,,,,,,,,,41.02,35.28,87.1,265.0,103.92,67.08,72.13,83.3,,,,,,,,,,54.15,41.09,109.2,290.0,128.68,110.06,119.97,137.55,,,,,,,,,
43.0,39.97,33.38,82.2,227.07,102.88,84.65,97.8,111.97,,,,,,,,,,50.33,37.0,97.86,174.77,98.95,75.0,79.46,62.94,,,,,,,,,,50.45,37.0,97.91,174.96,99.0,75.0,79.43,62.56,,,,,,,,,,40.81,35.0,85.84,261.3,103.06,65.97,70.78,81.99,,,,,,,,,,53.84,40.75,106.86,286.46,127.92,109.93,119.22,136.74,,,,,,,,,
44.0,39.74,33.06,81.07,224.15,102.02,83.88,97.2,111.12,,,,,,,,,,50.12,36.69,96.01,172.54,97.79,73.74,78.0,61.07,,,,,,,,,,50.24,36.7,96.08,172.77,97.96,73.55,78.0,60.49,,,,,,,,,,40.39,34.65,84.71,258.08,102.19,65.0,69.43,80.43,,,,,,,,,,53.42,40.35,105.0,281.98,126.83,109.31,118.51,136.05,,,,,,,,,
45.0,39.43,32.78,80.09,220.69,101.22,83.12,96.5,110.2,,,,,,,,,,50.0,36.28,95.0,170.9,96.85,71.99,76.75,58.77,,,,,,,,,,50.1,36.29,95.0,171.04,96.94,71.94,76.78,57.94,,,,,,,,,,40.01,34.21,83.67,254.94,101.3,63.86,68.11,78.62,,,,,,,,,,53.01,40.0,102.94,278.48,125.92,108.77,117.9,135.45,,,,,,,,,
46.0,39.13,32.4,79.37,218.35,100.54,82.25,95.7,109.31,,,,,,,,,,49.94,36.05,93.46,169.89,95.62,70.8,75.43,55.37,,,,,,,,,,50.0,36.06,93.51,170.0,95.7,70.74,75.47,54.53,,,,,,,,,,39.76,33.95,82.35,251.74,100.44,62.72,66.5,76.82,,,,,,,,,,52.75,39.8,101.34,275.17,125.0,108.12,117.25,135.0,,,,,,,,,
