pct_of_hours,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
47.0,38.95,32.04,78.34,215.28,100.0,81.61,94.95,108.72,,,,,,,,,,49.62,35.65,92.54,168.0,95.0,69.82,73.84,53.55,,,,,,,,,,49.87,35.66,92.54,168.52,95.0,69.74,73.9,52.57,,,,,,,,,,39.44,33.5,81.2,248.89,99.99,61.67,64.85,74.72,,,,,,,,,,52.46,39.48,99.82,272.47,124.38,107.54,116.66,134.38,,,,,,,,,
48.0,38.68,31.71,77.6,212.86,99.36,80.92,94.07,107.77,,,,,,,,,,49.39,35.18,91.46,166.38,94.0,68.0,72.07,50.62,,,,,,,,,,49.53,35.21,91.45,166.78,94.09,68.0,72.18,49.18,,,,,,,,,,39.1,33.1,80.09,245.26,99.18,60.67,63.18,73.01,,,,,,,,,,52.08,39.14,98.14,268.96,123.71,106.99,115.92,133.8,,,,,,,,,
49.0,38.38,31.31,76.49,210.27,98.74,80.16,93.26,106.98,,,,,,,,,,49.07,34.99,90.05,164.99,93.08,65.88,70.76,47.54,,,,,,,,,,49.2,35.0,90.07,165.02,93.32,66.01,70.77,45.85,,,,,,,,,,38.94,32.8,79.46,241.93,98.38,59.82,61.41,70.51,,,,,,,,,,51.78,38.87,96.09,266.51,123.0,106.39,115.21,133.08,,,,,,,,,
50.0,38.06,30.99,75.48,208.34,98.02,79.58,92.43,105.69,,,,,,,,,,48.95,34.62,89.5,163.54,92.13,64.79,69.97,44.05,,,,,,,,,,49.0,34.64,89.5,163.95,92.5,64.93,69.99,42.64,,,,,,,,,,38.65,32.37,78.46,239.34,97.7,58.81,60.0,68.32,,,,,,,,,,51.4,38.47,94.52,264.26,122.06,105.83,114.99,132.58,,,,,,,,,
51.0,37.87,30.59,74.59,205.65,97.28,78.87,91.73,104.83,,,,,,,,,,48.63,34.22,88.59,161.62,91.59,62.72,68.64,41.02,,,,,,,,,,48.87,34.27,88.61,162.12,91.82,63.09,68.64,39.63,,,,,,,,,,38.34,32.01,77.72,236.91,96.93,57.69,58.02,66.31,,,,,,,,,,51.05,38.1,92.43,261.13,121.32,105.22,114.47,131.83,,,,,,,,,
52.0,37.56,30.21,73.5,202.71,96.65,77.97,91.0,104.11,,,,,,,,,,48.43,34.01,87.34,160.38,90.78,61.0,66.71,38.52,,,,,,,,,,48.56,34.01,87.34,160.96,91.0,61.28,66.62,36.43,,,,,,,,,,38.03,31.66,76.39,233.6,96.02,56.6,56.01,64.63,,,,,,,,,,50.77,37.85,90.24,258.9,120.3,105.0,114.0,130.94,,,,,,,,,
53.0,37.32,29.95,72.08,200.0,95.9,77.05,90.41,103.08,,,,,,,,,,48.11,33.6,86.6,159.68,90.08,60.0,65.0,35.85,,,,,,,,,,48.34,33.64,86.6,160.0,90.3,60.0,65.0,35.01,,,,,,,,,,37.8,31.16,75.3,230.63,95.13,55.41,53.95,62.56,,,,,,,,,,50.42,37.52,88.59,256.49,119.76,104.65,113.37,130.1,,,,,,,,,
54.0,37.07,29.58,70.96,197.96,95.1,76.03,89.92,102.23,,,,,,,,,,48.0,33.31,85.12,157.3,89.78,58.4,62.58,35.01,,,,,,,,,,48.03,33.32,85.08,158.26,90.0,58.83,62.56,33.19,,,,,,,,,,37.5,30.74,74.47,228.58,94.49,54.32,52.12,60.7,,,,,,,,,,50.02,37.2,87.13,253.47,118.98,104.05,112.8,130.1,,,,,,,,,
55.0,36.92,29.16,69.98,195.77,94.61,75.01,89.26,101.5,,,,,,,,,,47.57,33.01,84.34,155.62,88.89,56.29,60.31,33.76,,,,,,,,,,47.8,33.01,84.27,156.17,89.42,56.83,60.33,31.01,,,,,,,,,,37.24,30.29,73.49,225.68,93.65,52.98,50.74,57.42,,,,,,,,,,49.84,36.94,85.95,250.0,118.06,103.46,112.09,130.0,,,,,,,,,
56.0,36.63,28.9,68.88,193.5,93.97,74.22,88.74,100.9,,,,,,,,,,47.4,32.7,83.43,154.3,87.99,55.0,58.62,31.8,,,,,,,,,,47.5,32.7,83.35,155.0,88.44,55.2,58.58,28.96,,,,,,,,,,37.0,30.0,72.18,223.5,92.65,51.98,49.28,54.36,,,,,,,,,,49.54,36.6,84.98,248.26,117.23,103.0,111.66,129.57,,,,,,,,,
57.0,36.32,28.52,67.87,190.9,93.18,73.32,88.08,100.17,,,,,,,,,,47.09,32.3,82.58,153.0,86.99,53.0,55.84,29.86,,,,,,,,,,47.25,32.32,82.54,153.33,87.46,54.0,55.91,26.84,,,,,,,,,,36.7,29.6,71.24,220.72,91.81,50.5,47.44,51.93,,,,,,,,,,49.23,36.22,83.43,245.62,116.47,102.38,111.1,128.89,,,,,,,,,
58.0,36.12,28.09,66.75,189.2,92.38,72.33,87.42,99.6,,,,,,,,,,46.96,32.02,81.2,151.11,85.8,50.68,53.18,27.74,,,,,,,,,,47.01,32.05,81.07,151.94,86.24,51.99,53.69,24.34,,,,,,,,,,36.4,29.1,70.27,218.95,91.0,49.25,45.28,49.3,,,,,,,,,,48.95,35.91,82.23,243.04,115.59,101.82,110.58,128.23,,,,,,,,,
59.0,35.94,27.85,65.86,185.98,91.64,71.55,86.67,98.76,,,,,,,,,,46.69,31.6,80.18,150.0,85.0,49.8,51.02,25.31,,,,,,,,,,46.85,31.66,80.0,150.3,85.2,50.2,51.41,23.0,,,,,,,,,,36.13,28.75,69.55,216.46,90.3,48.12,43.47,46.9,,,,,,,,,,48.63,35.5,81.0,241.04,115.04,101.29,110.03,127.66,,,,,,,,,
60.0,35.69,27.4,65.0,184.03,90.69,70.58,85.9,97.87,,,,,,,,,,46.36,31.24,79.26,149.11,84.13,47.5,49.7,23.59,,,,,,,,,,46.5,31.26,79.19,149.95,84.82,49.05,50.0,20.82,,,,,,,,,,35.93,28.3,68.61,214.78,89.65,46.85,41.51,44.24,,,,,,,,,,48.28,35.1,79.96,239.3,114.64,100.8,109.82,126.9,,,,,,,,,
61.0,35.46,27.06,64.13,181.57,89.97,69.81,85.22,96.99,,,,,,,,,,46.07,30.91,78.05,148.1,83.0,45.5,46.8,21.87,,,,,,,,,,46.18,30.96,78.02,148.58,83.9,47.22,47.56,18.89,,,,,,,,,,35.63,27.93,67.64,212.69,88.77,45.67,40.14,41.26,,,,,,,,,,48.0,34.87,78.68,236.94,113.94,100.18,109.22,126.24,,,,,,,,,
62.0,35.24,26.7,63.09,179.34,89.18,68.88,84.79,96.1,,,,,,,,,,45.94,30.55,76.75,147.0,82.0,43.92,44.75,19.8,,,,,,,,,,46.0,30.58,76.72,147.62,82.85,45.38,45.59,16.19,,,,,,,,,,35.29,27.5,66.57,210.14,87.94,44.32,38.8,38.9,,,,,,,,,,47.69,34.43,77.43,234.91,113.37,100.0,108.61,125.59,,,,,,,,,
63.0,35.02,26.26,62.2,176.09,88.39,67.9,84.0,95.16,,,,,,,,,,45.68,30.25,75.74,145.46,80.75,41.87,42.0,17.66,,,,,,,,,,45.77,30.29,75.57,146.0,81.76,43.64,43.78,14.32,,,,,,,,,,35.05,27.01,65.81,207.99,87.04,43.02,37.53,36.25,,,,,,,,,,47.37,34.0,76.35,232.63,112.66,99.46,108.01,124.94,,,,,,,,,
64.0,34.9,26.0,61.28,172.82,87.71,66.96,83.37,94.21,,,,,,,,,,45.38,30.01,74.75,144.0,80.0,40.1,40.0,15.16,,,,,,,,,,45.5,30.02,74.53,144.95,80.5,41.8,41.22,12.41,,,,,,,,,,34.9,26.61,65.02,206.0,86.01,41.54,36.1,34.16,,,,,,,,,,47.08,33.53,75.3,230.68,111.98,99.0,107.55,124.04,,,,,,,,,
65.0,34.55,25.73,60.46,169.94,86.9,66.0,82.64,93.22,,,,,,,,,,45.07,29.84,73.36,142.42,78.91,39.0,38.11,13.31,,,,,,,,,,45.17,29.9,73.35,143.0,80.0,40.08,39.68,11.02,,,,,,,,,,34.5,26.1,64.24,203.73,85.17,40.05,35.01,32.33,,,,,,,,,,46.76,33.0,74.34,228.88,111.23,98.47,106.97,123.37,,,,,,,,,
66.0,34.24,25.34,59.98,167.34,85.96,64.97,81.78,92.1,,,,,,,,,,44.98,29.5,72.04,140.58,77.62,36.0,36.0,11.28,,,,,,,,,,45.0,29.51,72.02,141.11,78.85,38.51,37.93,9.6,,,,,,,,,,34.17,25.75,63.26,201.45,84.44,38.78,33.81,30.44,,,,,,,,,,46.39,32.61,73.45,227.09,110.53,97.9,106.46,122.7,,,,,,,,,
67.0,34.0,25.04,59.16,164.09,85.0,64.18,80.94,90.89,,,,,,,,,,44.62,29.04,70.72,139.84,76.09,35.01,35.01,9.82,,,,,,,,,,44.71,29.1,70.68,140.0,77.62,35.79,35.62,8.18,,,,,,,,,,33.94,25.33,62.36,199.92,83.5,37.32,32.14,28.6,,,,,,,,,,46.1,32.13,72.59,225.0,110.0,97.23,105.93,122.04,,,,,,,,,
68.0,33.63,24.86,58.34,161.37,84.0,63.41,79.96,89.58,,,,,,,,,,44.3,28.77,69.55,137.83,75.0,35.0,33.96,8.47,,,,,,,,,,44.4,28.88,69.61,138.53,76.2,35.01,35.0,6.88,,,,,,,,,,33.5,25.0,61.64,197.5,82.52,35.7,30.72,26.72,,,,,,,,,,45.82,31.71,71.65,223.11,109.52,96.72,105.41,121.35,,,,,,,,,
69.0,33.23,24.39,57.6,157.42,82.93,62.5,78.99,88.44,,,,,,,,,,44.0,28.38,68.11,135.93,73.86,35.0,31.49,7.05,,,,,,,,,,44.07,28.5,68.26,136.24,75.0,35.0,33.6,5.57,,,,,,,,,,33.11,24.51,60.77,195.95,81.7,35.0,29.35,25.0,,,,,,,,,,45.54,31.13,70.72,221.37,108.95,96.0,105.1,120.68,,,,,,,,,
70.0,33.01,24.02,56.87,153.31,81.85,61.45,77.95,87.1,,,,,,,,,,43.73,28.03,66.65,134.64,72.1,33.74,30.0,5.64,,,,,,,,,,43.81,28.1,66.84,135.0,74.0,35.0,31.17,4.61,,,,,,,,,,32.89,24.1,60.06,194.3,80.4,33.7,27.95,23.43,,,,,,,,,,45.21,30.72,69.96,219.42,108.2,95.38,105.1,120.05,,,,,,,,,
71.0,32.69,23.66,55.95,149.78,80.48,60.38,77.0,85.59,,,,,,,,,,43.4,27.8,65.5,132.1,70.65,30.52,27.84,4.51,,,,,,,,,,43.5,27.92,65.71,133.1,72.52,33.0,30.0,3.9,,,,,,,,,,32.51,23.6,59.45,191.99,79.61,32.0,26.28,21.85,,,,,,,,,,45.0,30.28,69.18,217.9,107.5,95.0,104.78,119.19,,,,,,,,,
72.0,32.3,23.12,55.25,145.64,79.71,59.45,75.5,84.2,,,,,,,,,,43.0,27.5,64.5,130.19,69.56,28.21,25.77,3.78,,,,,,,,,,43.1,27.52,64.69,131.0,70.81,30.1,28.3,3.6,,,,,,,,,,32.16,22.98,58.6,190.0,78.42,30.4,25.2,19.95,,,,,,,,,,44.66,30.0,68.32,215.85,106.92,94.34,104.25,118.29,,,,,,,,,
73.0,31.98,22.8,54.56,141.04,78.52,58.18,74.15,82.44,,,,,,,,,,42.68,27.1,62.99,129.11,67.46,24.92,23.48,3.39,,,,,,,,,,42.85,27.2,63.15,129.99,69.99,27.03,26.21,2.96,,,,,,,,,,31.88,22.5,57.78,188.14,77.15,28.85,23.7,18.53,,,,,,,,,,44.36,29.6,67.63,214.37,106.2,93.67,103.68,117.29,,,,,,,,,
74.0,31.51,22.19,53.8,138.04,77.13,56.99,72.6,80.99,,,,,,,,,,42.41,26.85,61.93,127.0,65.1,20.56,21.01,2.64,,,,,,,,,,42.51,27.0,62.01,127.85,68.0,24.22,24.59,2.36,,,,,,,,,,31.39,21.85,56.79,185.55,76.0,27.0,22.33,17.2,,,,,,,,,,44.07,29.05,66.78,212.74,105.5,92.93,102.96,116.46,,,,,,,,,
75.0,31.06,21.75,53.01,134.2,75.88,55.56,71.09,78.95,,,,,,,,,,42.01,26.45,60.9,125.0,63.47,17.5,19.7,2.09,,,,,,,,,,42.21,26.51,61.02,125.33,65.88,20.1,22.19,2.0,,,,,,,,,,31.0,21.2,56.0,183.03,74.94,25.51,20.96,15.53,,,,,,,,,,43.77,28.67,65.86,210.79,104.87,92.06,102.35,115.35,,,,,,,,,
76.0,30.76,21.11,52.13,130.14,74.42,54.52,69.76,75.89,,,,,,,,,,41.76,26.02,59.98,122.3,60.39,14.72,17.56,1.61,,,,,,,,,,41.95,26.2,60.0,123.38,64.8,17.04,20.3,1.69,,,,,,,,,,30.61,20.64,55.15,180.09,73.47,24.08,19.89,14.46,,,,,,,,,,43.46,28.15,65.1,209.31,104.0,91.31,101.86,114.37,,,,,,,,,
77.0,30.29,20.72,51.2,126.25,72.86,52.77,68.03,73.72,,,,,,,,,,41.32,25.8,58.59,120.21,59.0,12.03,15.98,1.04,,,,,,,,,,41.54,26.0,58.96,121.0,62.48,14.2,19.26,1.32,,,,,,,,,,30.19,20.06,54.31,177.89,71.82,21.91,18.48,13.02,,,,,,,,,,43.13,27.71,64.46,207.42,103.13,90.6,101.24,113.19,,,,,,,,,
78.0,30.03,20.1,50.56,122.14,70.7,51.21,66.21,70.81,,,,,,,,,,41.0,25.34,57.16,119.12,55.44,10.03,14.83,0.84,,,,,,,,,,41.1,25.51,57.46,120.0,60.0,11.41,17.6,1.08,,,,,,,,,,30.0,19.73,53.48,174.89,70.1,20.13,17.44,11.75,,,,,,,,,,42.71,27.27,63.66,205.21,102.52,90.09,100.44,112.06,,,,,,,,,
79.0,29.8,19.81,49.88,119.51,69.4,49.62,64.21,67.7,,,,,,,,,,40.6,25.0,55.93,116.67,52.8,8.0,13.0,0.57,,,,,,,,,,40.85,25.09,56.05,117.99,57.88,10.0,15.97,0.9,,,,,,,,,,29.61,19.12,52.68,171.82,68.41,18.59,16.28,10.48,,,,,,,,,,42.42,26.65,62.94,203.38,101.54,89.69,99.98,110.28,,,,,,,,,
80.0,29.37,19.16,49.02,115.92,67.03,47.33,61.01,65.39,,,,,,,,,,40.1,24.51,54.86,115.0,50.0,6.08,10.63,0.29,,,,,,,,,,40.46,24.82,54.99,115.55,55.0,7.58,15.0,0.61,,,,,,,,,,29.14,18.67,51.6,169.32,66.18,16.9,15.33,8.84,,,,,,,,,,42.05,26.11,62.19,201.2,100.74,88.78,99.23,109.24,,,,,,,,,
81.0,29.0,18.66,48.21,112.34,64.11,45.38,58.05,62.2,,,,,,,,,,39.87,24.1,53.47,113.0,48.11,5.0,8.0,0.16,,,,,,,,,,40.0,24.3,53.58,114.13,52.0,6.0,13.9,0.42,,,,,,,,,,28.69,18.12,50.56,166.69,64.15,15.1,14.11,7.3,,,,,,,,,,41.7,25.72,61.3,199.88,100.0,87.81,98.51,107.75,,,,,,,,,
82.0,28.62,18.05,47.41,108.88,60.88,42.87,53.75,56.31,,,,,,,,,,39.5,23.72,52.0,111.01,45.1,4.0,6.0,0.03,,,,,,,,,,39.68,24.0,52.01,112.0,49.99,5.0,12.01,0.27,,,,,,,,,,28.23,17.57,49.77,163.54,61.92,13.64,13.0,5.71,,,,,,,,,,41.27,25.3,60.61,197.77,99.5,86.63,97.67,106.47,,,,,,,,,
83.0,28.15,17.39,46.47,104.04,57.86,40.1,48.32,51.16,,,,,,,,,,39.02,23.0,50.3,109.7,42.23,3.32,5.0,0.0,,,,,,,,,,39.2,23.19,50.4,110.0,47.0,3.74,9.7,0.16,,,,,,,,,,27.9,17.04,48.9,160.42,59.1,11.9,11.97,4.32,,,,,,,,,,40.83,25.0,60.0,195.7,98.5,85.7,97.1,105.1,,,,,,,,,
84.0,27.8,16.74,45.72,100.22,53.93,37.51,41.0,45.47,,,,,,,,,,38.56,22.5,48.62,106.15,40.02,3.25,3.82,0.0,,,,,,,,,,38.88,22.67,48.67,107.41,44.94,3.29,7.44,0.06,,,,,,,,,,27.46,16.43,48.02,156.69,56.09,10.54,10.5,3.27,,,,,,,,,,40.41,24.76,59.31,193.46,97.5,85.0,96.22,104.23,,,,,,,,,
85.0,27.3,15.97,44.91,97.49,49.81,34.17,33.0,40.67,,,,,,,,,,38.01,21.85,46.69,104.0,38.0,3.2,3.52,0.0,,,,,,,,,,38.23,22.0,46.83,105.0,41.58,3.22,5.99,0.01,,,,,,,,,,27.02,15.91,46.78,152.39,53.27,9.64,9.21,2.22,,,,,,,,,,40.0,24.1,58.34,190.92,96.57,84.0,95.12,102.43,,,,,,,,,
86.0,26.91,14.98,43.89,93.82,45.37,29.97,25.98,33.1,,,,,,,,,,37.5,21.02,44.68,101.1,34.99,3.15,3.52,-0.0,,,,,,,,,,37.8,21.25,44.7,102.0,40.0,3.2,5.38,0.0,,,,,,,,,,26.61,15.27,45.72,147.54,48.93,8.16,7.74,1.14,,,,,,,,,,39.76,23.51,57.65,188.42,95.52,83.0,94.4,100.2,,,,,,,,,
87.0,26.33,14.03,42.91,89.88,40.54,24.91,18.87,23.51,,,,,,,,,,36.7,20.46,43.05,99.38,30.87,1.87,2.0,-0.0,,,,,,,,,,37.0,20.64,43.05,100.0,36.48,2.35,5.0,0.0,,,,,,,,,,26.12,14.82,44.74,143.42,45.14,6.92,5.99,0.42,,,,,,,,,,39.16,22.9,56.55,185.0,94.9,81.54,93.47,98.69,,,,,,,,,
88.0,25.79,12.96,41.9,86.73,35.07,19.95,13.03,17.58,,,,,,,,,,36.03,20.0,40.52,96.63,27.56,0.94,1.0,-0.01,,,,,,,,,,36.29,20.01,40.52,97.8,33.1,1.5,4.31,0.0,,,,,,,,,,25.49,14.06,43.68,139.28,40.87,5.4,4.57,0.02,,,,,,,,,,38.81,22.06,55.73,182.07,93.78,80.0,91.74,96.5,,,,,,,,,
89.0,25.1,11.75,40.49,82.77,29.09,14.28,8.59,9.93,,,,,,,,,,35.54,19.31,38.5,94.26,24.8,0.44,0.65,-0.01,,,,,,,,,,35.82,19.51,38.5,95.01,30.0,0.5,3.6,-0.0,,,,,,,,,,24.66,13.45,42.34,134.72,36.18,4.35,3.34,0.0,,,,,,,,,,38.19,21.4,54.69,179.35,92.68,78.78,90.0,94.97,,,,,,,,,
90.0,24.34,10.46,39.54,78.88,22.73,10.11,4.15,5.49,,,,,,,,,,35.0,18.48,36.4,90.91,20.3,0.2,0.18,-0.03,,,,,,,,,,35.26,18.83,36.46,92.15,25.6,0.43,3.52,-0.0,,,,,,,,,,24.0,12.71,41.04,128.27,30.68,3.25,1.5,0.0,,,,,,,,,,37.65,20.65,53.71,174.62,91.08,77.12,88.39,92.25,,,,,,,,,
91.0,23.09,9.06,37.87,74.55,16.85,6.5,2.0,2.22,,,,,,,,,,34.21,17.73,33.89,88.91,18.0,0.01,0.0,-0.1,,,,,,,,,,34.66,18.02,33.62,89.74,22.8,0.1,2.99,-0.01,,,,,,,,,,22.94,12.0,39.94,121.99,25.78,1.71,0.2,-0.0,,,,,,,,,,36.99,20.0,52.77,169.85,89.59,75.33,85.92,88.43,,,,,,,,,
92.0,21.35,7.59,36.02,70.05,11.64,2.95,0.1,0.4,,,,,,,,,,33.02,16.72,30.0,84.96,14.0,0.0,0.0,-0.27,,,,,,,,,,33.68,17.01,29.8,86.0,18.89,0.0,1.72,-0.03,,,,,,,,,,21.59,11.25,38.08,114.7,20.54,0.49,0.0,-0.0,,,,,,,,,,36.33,19.64,51.76,164.99,87.6,73.28,83.07,81.67,,,,,,,,,
93.0,18.52,5.49,33.3,63.85,8.63,0.75,0.0,-0.0,,,,,,,,,,32.03,15.75,26.4,79.74,9.72,0.0,0.0,-0.44,,,,,,,,,,32.51,16.01,26.41,80.27,15.0,0.0,0.66,-0.11,,,,,,,,,,20.0,10.52,35.76,107.46,15.72,0.06,0.0,-0.01,,,,,,,,,,35.51,18.99,50.23,157.82,85.6,71.0,79.53,74.09,,,,,,,,,
94.0,14.22,3.69,28.89,52.27,4.97,0.01,-0.01,-0.03,,,,,,,,,,30.8,14.97,22.48,74.65,5.0,0.0,-0.01,-0.68,,,,,,,,,,31.5,15.0,22.74,75.49,10.0,0.0,0.38,-0.33,,,,,,,,,,18.29,9.6,32.51,100.74,10.67,0.0,0.0,-0.01,,,,,,,,,,34.97,18.01,49.28,151.18,83.55,69.18,74.33,62.67,,,,,,,,,
95.0,10.72,1.23,22.82,40.08,1.07,-0.01,-0.11,-0.55,,,,,,,,,,30.0,14.0,18.19,65.3,4.3,0.0,-0.01,-0.84,,,,,,,,,,30.01,14.01,18.4,66.18,5.0,0.0,0.02,-0.5,,,,,,,,,,16.09,8.39,28.12,95.9,7.05,0.0,-0.01,-0.02,,,,,,,,,,34.01,16.96,47.9,144.02,80.1,65.62,68.42,53.26,,,,,,,,,
96.0,5.57,0.07,16.1,27.25,0.06,-0.08,-1.01,-1.76,,,,,,,,,,28.24,12.45,14.0,54.86,4.16,0.0,-0.5,-1.19,,,,,,,,,,29.0,12.66,14.0,55.0,4.3,0.0,0.0,-0.83,,,,,,,,,,14.51,6.69,22.06,88.42,3.82,-0.01,-0.01,-0.11,,,,,,,,,,32.85,15.89,46.02,134.41,76.69,61.87,59.07,38.38,,,,,,,,,
97.0,0.39,-0.11,7.2,15.22,-0.04,-1.04,-2.63,-4.07,,,,,,,,,,25.99,11.0,8.73,43.56,2.88,0.0,-1.01,-2.04,,,,,,,,,,26.51,11.34,9.4,45.0,4.16,0.0,0.0,-1.46,,,,,,,,,,11.89,4.99,15.98,79.09,0.9,-0.04,-0.04,-1.7,,,,,,,,,,31.27,14.77,43.73,121.61,70.09,56.29,46.15,28.7,,,,,,,,,
98.0,-0.93,-4.94,0.09,7.17,-1.01,-5.04,-6.0,-12.6,,,,,,,,,,19.99,9.06,3.5,21.01,1.22,-0.01,-2.07,-2.1,,,,,,,,,,20.62,9.83,3.5,21.02,1.74,-0.01,-0.01,-2.01,,,,,,,,,,9.15,2.23,7.45,60.59,0.0,-1.5,-1.56,-9.38,,,,,,,,,,29.18,11.58,40.1,106.04,55.67,46.48,25.59,13.6,,,,,,,,,
99.0,-9.98,-16.95,-2.98,0.07,-5.22,-19.95,-18.89,-35.57,,,,,,,,,,6.23,5.67,1.95,4.11,0.0,-0.46,-4.2,-4.0,,,,,,,,,,6.46,5.93,1.95,4.11,0.1,-0.07,-0.86,-2.98,,,,,,,,,,5.29,-0.1,0.08,33.08,-0.08,-14.4,-7.39,-29.77,,,,,,,,,,22.2,8.0,34.87,92.87,35.14,30.0,13.99,6.6,,,,,,,,,
100.0,-90.01,-83.94,-69.0,-19.04,-500.0,-135.45,-250.32,-499.0,,,,,,,,,,0.03,1.02,0.01,0.0,0.0,-2.0,-15.0,-9.82,,,,,,,,,,0.01,1.02,0.0,0.0,0.0,-2.0,-5.0,-9.82,,,,,,,,,,-24.92,-75.82,-66.18,-1.44,-134.94,-87.29,-118.01,-496.86,,,,,,,,,,1.0,0.0,3.0,10.0,2.36,0.1,0.0,0.0,,,,,,,,,
